c_abasava.tga e_empire0009.tga
c_abaudin.tga k_kingdom0031.tga
c_abayine.tga d_duchy0007.tga
c_abdoljo.tga c_province0001.tga
c_abduan.tga c_province0002.tga
c_abelim.tga c_province0004.tga
c_abeneer.tga c_province0014.tga
c_abeneth.tga c_province0007.tga
c_abenina.tga d_duchy0047.tga
c_abereba.tga c_province0022.tga
c_abhaseya.tga c_province0066.tga
c_abhipaz.tga c_province0071.tga
c_abhucho.tga c_province0047.tga
c_abijesar.tga d_duchy0060.tga
c_abisipaz.tga c_province0059.tga
c_abiurong.tga c_province0078.tga
c_abodaret.tga c_province0060.tga
c_abogoatl.tga d_duchy0031.tga
c_abojory.tga c_province0006.tga
c_aburi.tga c_province0011.tga
c_abusbu.tga c_province0023.tga
c_acaad.tga c_province0031.tga
c_acasann.tga k_kingdom0037.tga
c_acasiga.tga d_duchy0027.tga
c_aclovya.tga c_province0013.tga
c_acludo.tga c_province0027.tga
c_acluida.tga d_duchy0037.tga
c_acoteek.tga c_province0028.tga
c_activia.tga c_province0053.tga
c_acuman.tga c_province0037.tga
c_adadeva.tga k_kingdom0040.tga
c_adageer.tga d_duchy0016.tga
c_adaguti.tga c_province0005.tga
c_adeludan.tga c_province0010.tga
c_ademaicu.tga c_province0036.tga
c_ader-ura.tga c_province0016.tga
c_adeyao.tga d_duchy0040.tga
c_adiami.tga c_province0034.tga
c_adigo.tga c_province0039.tga
c_adilika.tga c_province0040.tga
c_adimily.tga k_kingdom0009.tga
c_adobifa.tga d_duchy0009.tga
c_adomihal.tga c_province0009.tga
c_adouwite.tga e_empire0024.tga
c_adudemna.tga k_kingdom0024.tga
c_adunite.tga d_duchy0024.tga
c_afagew.tga c_province0024.tga
c_afararan.tga e_empire0041.tga
c_aferam.tga k_kingdom0026.tga
c_agabiwan.tga d_duchy0026.tga
c_agahim.tga c_province0026.tga
c_agalonse.tga k_kingdom0077.tga
c_agawani.tga d_duchy0052.tga
c_agerati.tga c_province0020.tga
c_ageruzh.tga c_province0052.tga
c_agevaani.tga d_duchy0076.tga
c_aglril.tga c_province0054.tga
c_agodubb.tga c_province0076.tga
c_agosz.tga d_duchy0077.tga
c_agraran.tga c_province0043.tga
c_agroura.tga c_province0081.tga
c_aguidy.tga c_province0087.tga
c_aguoja.tga c_province0077.tga
c_agutar.tga k_kingdom0041.tga
c_ahawuida.tga d_duchy0033.tga
c_ahecam.tga c_province0018.tga
c_ahecine.tga c_province0033.tga
c_ahedand.tga d_duchy0041.tga
c_ahederd.tga c_province0017.tga
c_ahjeth.tga c_moonlanding.tga
c_ahjoja.tga c_province0041.tga
c_ahonn.tga e_empire0046.tga
c_ajabiana.tga k_mexico.tga
c_ajanedu.tga d_duchy0080.tga
c_ajay-ius.tga c_tenochtitlan.tga
c_ajobuha.tga c_province0105.tga
c_ajobuida.tga c_province0080.tga
c_akacob.tga d_duchy0131.tga
c_akad.tga c_province0103.tga
c_akakul.tga c_province0125.tga
c_akaluraq.tga c_province0131.tga
c_akamele.tga k_kingdom0019.tga
c_akaminga.tga d_duchy0019.tga
c_akamiya.tga c_province0019.tga
c_akamud.tga k_central_america.tga
c_akari.tga d_duchy0042.tga
c_akarork.tga c_province0038.tga
c_akaul.tga c_province0042.tga
c_akegaham.tga d_central_america.tga
c_akehanna.tga c_costa_rica.tga
c_akiroa.tga c_honduras.tga
c_akiruna.tga c_panama.tga
c_akliran.tga d_duchy0074.tga
c_aklirma.tga c_province0050.tga
c_akojandi.tga c_province0074.tga
c_akojema.tga d_belize.tga
c_akorgil.tga c_guatemala.tga
c_akovke.tga c_province0089.tga
c_aksemn.tga c_belize.tga
c_akugam.tga k_panama.tga
c_akujai.tga d_panama.tga
c_alajid.tga c_darien.tga
c_alank.tga k_kingdom0120.tga
c_alaxeth.tga d_duchy0120.tga
c_alekail.tga c_province0082.tga
c_alela.tga c_province0154.tga
c_alenes.tga c_province0193.tga
c_alettil.tga c_province0120.tga
c_alibine.tga k_kingdom0046.tga
c_alimon.tga d_duchy0046.tga
c_aline.tga c_province0046.tga
c_alucooma.tga e_empire0048.tga
c_aluulena.tga k_kingdom0090.tga
c_amadeusz.tga d_duchy0044.tga
c_amaging.tga c_province0025.tga
c_amahacob.tga c_province0044.tga
c_amaheas.tga d_duchy0135.tga
c_amahegin.tga c_province0113.tga
c_amakefan.tga c_province0178.tga
c_amalter.tga c_province0135.tga
c_amaranga.tga d_duchy0156.tga
c_amarma.tga c_province0121.tga
c_amegawit.tga c_province0159.tga
c_amekim.tga c_province0191.tga
c_amelec.tga c_province0156.tga
c_ameludan.tga d_duchy0090.tga
c_amerama.tga c_province0083.tga
c_amicing.tga c_province0090.tga
c_amita.tga k_kingdom0096.tga
c_amomeus.tga d_duchy0096.tga
c_amoqawma.tga c_province0096.tga
c_amoryuan.tga k_kingdom0118.tga
c_amosarse.tga d_duchy0072.tga
c_amubasin.tga c_province0067.tga
c_amucacob.tga c_province0072.tga
c_amucath.tga d_duchy0088.tga
c_amucipac.tga c_province0057.tga
c_ananyuan.tga c_province0093.tga
c_anaria.tga c_province0123.tga
c_anarita.tga c_province0088.tga
c_anaryla.tga d_duchy0099.tga
c_andutar.tga c_province0073.tga
c_aneetdat.tga c_province0099.tga
c_aneetork.tga d_duchy0143.tga
c_anella.tga c_province0112.tga
c_anellet.tga c_province0158.tga
c_aniceis.tga c_province0143.tga
c_anira.tga d_duchy0171.tga
c_annuti.tga c_province0166.tga
c_anodaria.tga c_province0171.tga
c_anoreva.tga d_duchy0174.tga
c_anyigail.tga c_sun's_oasis.tga
c_anyo.tga c_province0215.tga
c_aolita.tga c_province0216.tga
c_apagaac.tga c_province0174.tga
c_apetakk.tga d_duchy0118.tga
c_aponaicu.tga c_province0094.tga
c_aponint.tga c_province0116.tga
c_apoyaude.tga c_province0118.tga
c_aprarma.tga k_kingdom0048.tga
c_apuke.tga d_duchy0012.tga
c_aputila.tga c_province0008.tga
c_apyad.tga c_province0015.tga
c_aqara.tga c_province0029.tga
c_aquneka.tga c_province0012.tga
c_araa.tga d_duchy0048.tga
c_aradilii.tga c_province0032.tga
c_aradivka.tga c_province0064.tga
c_araneda.tga c_province0048.tga
c_arars.tga e_empire0056.tga
c_arateike.tga k_kingdom0108.tga
c_aratira.tga d_duchy0108.tga
c_aravayla.tga c_province0086.tga
c_areinoa.tga c_province0095.tga
c_arela.tga c_province0138.tga
c_arenarma.tga c_province0108.tga
c_ariami.tga k_kingdom0232.tga
c_armatan.tga d_duchy0187.tga
c_aroda.tga c_province0147.tga
c_arodiya.tga c_province0160.tga
c_aruju.tga c_province0179.tga
c_arush.tga c_province0187.tga
c_asadalgi.tga d_duchy0232.tga
c_asahinus.tga c_gateway_shores.tga
c_asahund.tga c_province0230.tga
c_asalard.tga c_province0232.tga
c_asamarma.tga k_kingdom0056.tga
c_asara.tga d_duchy0021.tga
c_asardus.tga c_province0003.tga
c_asaulaha.tga c_province0049.tga
c_ascatan.tga c_province0021.tga
c_asins.tga d_duchy0119.tga
c_asius.tga c_province0098.tga
c_asomir.tga c_province0119.tga
c_asona.tga d_duchy0186.tga
c_asopugo.tga c_province0133.tga
c_asopyka.tga c_province0149.tga
c_asoras.tga c_province0185.tga
c_asota.tga c_province0214.tga
c_asuducho.tga c_province0186.tga
c_asufory.tga d_duchy0218.tga
c_asumoja.tga c_province0211.tga
c_asususa.tga c_province0249.tga
c_asuviel.tga c_province0218.tga
c_asvepes.tga d_duchy0278.tga
c_asyana.tga c_province0255.tga
c_atatira.tga c_province0275.tga
c_ateiel.tga c_province0300.tga
c_ateirek.tga c_province0278.tga
c_atelelec.tga d_duchy0287.tga
c_atena.tga c_jungusalem.tga
c_aterelen.tga c_province0287.tga
c_atheoran.tga d_duchy0330.tga
