#cultures
bedouin_arabic;Arabic;;;;;;;;;;;;;x
greek;Mediterranean;;;;;;;;;;;;;x
irish;Murican;;;;;;;;;;;;;x
hausa;Bantu;;;;;;;;;;;;;x
kanuri;Sahelian;;;;;;;;;;;;;x
old_frankish;Liblander;;;;;;;;;;;;;x
kannada;Asian;;;;;;;;;;;;;x
nubian;Black;;;;;;;;;;;;;x
russian;Slavic;;;;;;;;;;;;;x
castillan;Latin;;;;;;;;;;;;;x
frankish;Australiander;;;;;;;;;;;;;x
nahuatl;Nativican;;;;;;;;;;;;;x
zhangzhung;Zhonguonese;;;;;;;;;;;;;x
manden;First Peoples;;;;;;;;;;;;;x
saxon;Westerner;;;;;;;;;;;;;x
old_saxon;Aussie;;;;;;;;;;;;;x
han;Celestial;;;;;;;;;;;;;x
alan;Olympian;;;;;;;;;;;;;x
turkish;Ixians;;;;;;;;;;;;;x
panjabi;Sarduaker;;;;;;;;;;;;;x
english;Landsraad;;;;;;;;;;;;;x
cuman;Tleilax;;;;;;;;;;;;;x
mongol;Rakian;;;;;;;;;;;;;x
daju;Pantharian;;;;;;;;;;;;;x
khitan;Choam;;;;;;;;;;;;;x
persian;Navardanian;;;;;;;;;;;;;x
