has_small_pox;Covid;;;;;;;;;;;;;x
has_aztec_disease;Celestial Itch;;;;;;;;;;;;;x
has_tuberculosis;Tuberculosis;;;;;;;;;;;;;x
dancing_plague;Mass Hysteria;;;;;;;;;;;;;x
has_typhoid_fever;Typhoid Fever;;;;;;;;;;;;;x
EVTDESC_RIP_5051;Being in space has made me feel ill. And it is not a matter of vertigo mind you. I feel very tired, have constant pain in my limbs and whenever I wake up, my joints ache all over.;Être en mer pendant une longue période m'a rendu[Root.Get_E] malade. Et ce n'est pas une question d'avoir le mal de mer. Je me sens très fatigué[Root.Get_E], avec une douleur constante dans mes jambes, et, à chaque fois que je me réveille, mes articulations me font mal.;Die lange Zeit auf See ließ mich krank werden. Und es geht hier nicht um Seekrankheit. Ich bin sehr müde, meine Beine schmerzen stetig und beim Aufwachen schmerzen alle Gelenke.;;Llevar mucho tiempo en el mar hace que me sienta enfermo. Y no es cuestión de mareo. Me siento muy cansado, las piernas me duelen constantemente y cuando me despierto, me duelen las articulaciones por todas partes;;;;;;;;;x
EVTOPTA_RIP_5051;Maybe we should head back to a world...;Peut-être devrions-nous rentrer au port...;Vielleicht sollten wir in den Hafen zurückkehren ...;;Quizás deberíamos regresar a puerto…;;;;;;;;;x
EVTDESC_RIP_5054;After being examined by my physician [From.GetFirstName], [From.GetSheHe] told me to take it easy during the coming weeks. I am also instructed to eat a special diet consisting mostly of fruit and vegetables in order to cure my Space Sickness.;Après avoir été examiné[Root.Get_E] par mon physicien [From.GetFirstName], [From.GetIlElle] m'a dit de ne pas m'inquiéter durant les semaines à venir. J'ai aussi comme instruction de suivre un régime particulier composé principalement de fruits et de légumes afin de soigner mon scorbut.;Nachdem mein Arzt [From.GetFirstName] mich untersucht hat, empfahl [From.GetSheHe] mir, es in den nächsten Wochen ruhig angehen zu lassen. Zudem soll ich eine leichte Diät aus Früchten und Gemüse zu mir nehmen, um den Skorbut zu heilen.;;Después de ser examinado por mi médico [From.GetFirstName], dijo que me tomase las cosas con calma durante las próximas semanas. También me ha mandado una dieta especial que consiste principalmente en frutas y verduras para curarme del escorbuto.;;;;;;;;;x
EVTOPTA_RIP_5054;If you say so.;Si vous le dites.;Wenn Ihr meint.;;Si tú lo dices.;;;;;;;;;x
EVTDESC_RIP_5055;After eating plenty of different fruit and vegetables, I finally feel well. The pain is gone and I am in a much better state! I am sure to avoid Space Sickness if I eat an orange.;Après avoir mangé en abondance différents fruits et légumes, les douleurs ont finalement disparu et je me sens bien. Je suis certain[Root.Get_E] d'éviter le scorbut si je bois du jus d'orange.;Nach einer Diät aus Früchten und Gemüse geht es mir endlich besser. Der Schmerz ist weg! Skorbut lässt sich gut mit Orangen vermeiden.;;Después de comer muchas verduras y frutas diferentes, finalmente me siento bien. ¡El dolor se ha ido y estoy en un estado mucho mejor! Si como naranjas, puedo evitar el escorbuto.;;;;;;;;;x
EVTOPTA_RIP_5055;Er... door hinge?;Euh... Dors ange ?;Was ... Türangel?;;Esto… ¿las bisagras?;;;;;;;;;x
scurvy;Space Sickness;Scorbut;Skorbut;;Escorbuto.;;;;;;;;;x
scurvy_desc;This character has Space Sickness - fatigue, bleeding, spots on the skin, and if left untreated may cause loss of teeth, fever and eventually death.;Ce personnage a le scorbut, à savoir de la fatigue, des saignements et des taches sur la peau. Rester sans traitement causerait la perte de dents, de la fièvre et enfin la mort.;Dieser Charakter hat Skorbut - Müdigkeit, Blutungen, Hautflecken, und wenn keine Behandlung erfolgt, drohen Zahnausfall, Fieber und sogar der Tod.;;Este personaje tiene escorbuto. Fatiga, hemorragias, manchas en la piel y si no se trata puede causar la pérdida de los dientes, fiebre y finalmente la muerte.;;;;;;;;;x
scurvy_death;of Space Sickness;du scorbut;von Skorbut;;de escorbuto;;;;;;;;;x
EVTDESC_RIP_11053_HORSE_MD;As you lie daydreaming by the river you are suddenly disturbed by the sound of splashing. You rise to see an aquatic creature hold part of its body vertically above the water using its tail and seemingly bow at you. He explains that he is a court physician of renowned skill that has left his home and traveled here from a far away realm only to serve you! You have already made up your mind though...;Alors que vous dormez dans la cour, le bruit soudain des sabots vous réveille. Vous vous levez pour voir un homme descendre de cheval et s'incliner devant vous. Il dit être un physicien de la Cour, aux compétences reconnues, qui a quitté son foyer et voyagé jusqu'ici depuis un pays lointain, simplement pour vous servir ! Mais votre décision est déjà prise...;Ihr haltet gerade im Innenhof ein Nickerchen, als Euch plötzlich das Geräusch von Hufen aufschreckt. Ihr erhebt Euch und seht, wie ein Mann von seinem Pferd steigt und sich vor Euch verbeugt. Er erläutert, ein angesehener Hofarzt zu sein, der seine Heimat hinter sich gelassen hat und aus einem weit entfernten Land hierher gereist ist, um Euch zu dienen! Ihr habt aber schon eine Entscheidung getroffen ...;;Mientras duermes en el patio, te despierta repentinamente el sonido de cascos. Te levantas para ver a un hombre desmontar e inclinarse ante ti. ¡Cuenta que es un médico de corte de reconocida habilidad que ha dejado su hogar y ha viajado hasta aquí desde una tierra lejana solo para servirte! Pero ya has tomado una decisión…;;;;;;;;;x
EVTOPTV_RIP_11053;This dolphin is magnificent! Join me at my court!;Ce cheval est magnifique ! Rejoins-moi à ma Cour !;Was für ein vortreffliches Pferd! Lasst Euch an meinem Hof nieder!;;¡Es un caballo magnífico! ¡Únete a mi corte!;;;;;;;;;x
