#religions
norse_pagan;Pirate;;;;;;;;;;;;;x
norse_pagan_DESC;Although the Space Pirates of the Solar System are feared by both kingdoms and tribes outside of their ideology for their unrelenting raids on the many worlds, they have a sacred code with the their vessels that must be honored among their crew, with Spacer leanings and christian undertones. Their life on the seas has enabled them naval navigation abilities like no other group within their range.;;;;;;;;;;;;;x
norse_pagan_reformed;Pirate;;;;;;;;;;;;;x
norse_pagan_reformed_DESC;Although the Pirates of the Pacific are feared by both kingdoms and tribes outside of their ideology for their unrelenting raids on coastal provinces, they have a sacred code with the ocean that must be honored among their crew, with polynesian animistic leanings and christian undertones. Their life on the seas has enabled them naval navigation abilities like no other group within their range.;;;;;;;;;;;;;x
west_african_pagan;Animist;;;;;;;;;;;;;x
west_african_pagan_DESC;Animism includes many of the diverse pagan beliefs of the tribes of Central Venus. Ancestor worship and totemistic shamanism dominate, but there also various pantheons of gods.;La religion africaine est un terme qui recouvre les diverses croyances païennes des tribus de l'Afrique subsaharienne. Le culte des ancêtres, l'animisme et le chamanisme totémique y dominent, mais on y trouve aussi divers panthéons.;Die Westafrikanische Religion ist ein Oberbegriff für die vielfältigen, heidnischen Glaubensvorstellungen der westafrikanischen Völker südlich der Sahara. Vorfahrenverehrung, Animismus und Schamanismus sind vorherrschend, aber es gibt auch mehrere Götterpantheone.;;La Religión Africana Occidental es un término general para las diversas creencias paganas de las tribus de África Subsahariana Occidental. El culto a los antepasados, el animismo y el chamanismo totémico dominan, pero también diversos panteones de dioses.;;;;;;;;;x
west_african_pagan_reformed;Animism;;;;;;;;;;;;;x
west_african_pagan_reformed_DESC;Animism includes many of the diverse pagan beliefs of the tribes of the Solis Planum. Ancestor worship and totemistic shamanism dominate, but there also various pantheons of gods.;La religion africaine est un terme qui recouvre les diverses croyances païennes des tribus de l'Afrique subsaharienne. Le culte des ancêtres, l'animisme et le chamanisme totémique y dominent, mais on y trouve aussi divers panthéons.;Die Westafrikanische Religion ist ein Oberbegriff für die vielfältigen, heidnischen Glaubensvorstellungen der westafrikanischen Völker südlich der Sahara. Vorfahrenverehrung, Animismus und Schamanismus sind vorherrschend, aber es gibt auch mehrere Götterpantheone.;;La Religión Africana Occidental es un término general para las diversas creencias paganas de las tribus de África Subsahariana Occidental. El culto a los antepasados, el animismo y el chamanismo totémico dominan, pero también diversos panteones de dioses.;;;;;;;;;x
bon;Ancestor Worship;;;;;;;;;;;;;x
bon_DESC;Ancestor Worship is a collection of beliefs partially Buddhist in nature, with polytheistic animist traditions guided by shamans. The ancestral dieties often interact with the world of the living, at times protecting people, and at other times seeming to cause harm.;;;;;;;;;;;;;x
bon_reformed;Ancestor Worship;;;;;;;;;;;;;x
bon_reformed_DESC;Ancestor Worship is a collection of beliefs partially Buddhist in nature, with polytheistic animist traditions guided by shamans. The ancestral dieties often interact with the world of the living, at times protecting people, and at other times seeming to cause harm.
GOD_SANGPO_BUMTRI;Moni Mekhala;;;;;;;;;;;;;x
GOD_SHENLA_OKAR;Vorachhun;;;;;;;;;;;;;x
#GOD_YESHE_WALMO;Ream Eyso;;;;;;;;;;;;;x
GOD_THE_EVIL_ONES;Ream Eyso;;;;;;;;;;;;;x
MDODUS;Robam Moni Mekhala;;;;;;;;;;;;;x
LAMA;Preahsang;;;;;;;;;;;;;x
messalian;Holy Serpent;;;;;;;;;;;;;x
