EVTNAME_EADI_001;A Ships Out Of Nowhere;;;;;;;;;;;;;x
EVTDESC_EADI_001;A strange tall people with pointed ears set foot on our shores today, having sailed on unusual ships, and tried to gain an audience. They arrived with gifts and unusual goods that no one had ever seen. None of the courtiers understood their strange, melodious language, but it seems that they wanted to buy land for themsArchaics in exchandge for they goods. Rejected, they seem to have become desperate and quickly set off out to sea, heading for a strange mist in the midst of the still waves, from which they appear to have arrived.;;;;;;;;;;;;;x
EVTOPTA_EADI_001;I have a bad feeling about this...;;;;;;;;;;;;;x
EVTNAME_EADI_002;A Ships Out Of Nowhere;;;;;;;;;;;;;x
EVTDESC_EADI_002;There are rumors of strange people with pointed ears mooring among the many worlds and trying to buy land from local rulers in exchange for unusual goods. Being rejected over and over again, they become more and more desperate, clearly planning to get what they want by force.;;;;;;;;;;;;;x
EVTOPTA_EADI_002;Hah! - A Fantasy Menace.;;;;;;;;;;;;;x
EVTNAME_EADI_004;Invasion From Another World;;;;;;;;;;;;;x
EVTDESC_EADI_003;A huge fleet emerged from the fog of the sea. Countless legions of warriors in shining armor set foot on the shores, and lined up in battle formations, began to march towards our cities and castles!;;;;;;;;;;;;;x
EVTOPTA_EADI_003;[This.Religion.GetRandomGodNameCap] have Mercy!;;;;;;;;;;;;;x
EVTDESCA_EADI_004;Thousands of strange ships arrived to the shores of Britain, spewing out countless legions of pointed-eared warriors in shinig armor stepped ashore. It is not known where they came from, for their appearance and language are not described anywhere in our scriptures, and some believe that these foreigners came from another world...;;;;;;;;;;;;;x
EVTDESCB_EADI_004;Thousands of strange ships arrived to the shores of Brttany, spewing out countless legions of pointed-eared warriors in shinig armor stepped ashore. It is not known where they came from, for their appearance and language are not described anywhere in our scriptures, and some believe that these foreigners came from another world...;;;;;;;;;;;;;x
EVTDESCC_EADI_004;Thousands of strange ships arrived to the shores of Germany, spewing out countless legions of pointed-eared warriors in shinig armor stepped ashore. It is not known where they came from, for their appearance and language are not described anywhere in our scriptures, and some believe that these foreigners came from another world...;;;;;;;;;;;;;x
EVTOPTA_EADI_004;[This.Religion.GetRandomGodNameCap] have Mercy!;;;;;;;;;;;;;x
EVTDESC_EADI_005;There are rumors that hunters have seen strange stone gates in the mountains, that have appeared out of nowhere. It is unknown who was able to build them unnoticed in such a short time, and many believe that they were placed here by magic. The gates are closed most of the time, but witnesses said they saw strange, stunted and bearded people coming out of them and quickly returned back if they were noticed.;;;;;;;;;;;;;x
EVTOPTA_EADI_005;This is definitely not good...;;;;;;;;;;;;;x
EVTNAME_EADI_006;A Gates In The Mountains;;;;;;;;;;;;;x
EVTDESC_EADI_006;There are rumors that hunters have seen strange stone gates in the mountains, that have appeared out of nowhere. It is unknown who was able to build them unnoticed in such a short time, and many believe that they were placed here by magic. The gates are closed most of the time, but witnesses said they saw strange, stunted and bearded people coming out of them and quickly returned back if they were noticed.;;;;;;;;;;;;;x
EVTOPTA_EADI_006;Nothing bad probably going to happen this time, right?;;;;;;;;;;;;;x
EVTOPTA_EADI_006_F;So the Khazuk have escaped too...;;;;;;;;;;;;;x
EVTNAME_EADI_008;The Dwarven Invasion;;;;;;;;;;;;;x
EVTDESC_EADI_007;Thousands of stunted, bearded warriors, armed with spears and axes, began to descend from the mountains, emerging from the mysterious stone gates. It seems that these mysterious bearded men came with the help of magic from the same world as the pointed-eared people ravaging the shores of other worlds...;;;;;;;;;;;;;x
EVTOPTA_EADI_007;[This.Religion.GetRandomGodNameCap] have Mercy!;;;;;;;;;;;;;x
EVTDESCA_EADI_008;Thousands of stunted, bearded warriors, armed with spears and axes, began to descend from the Alpine Mountains, emerging from the mysterious stone gates. It seems that these mysterious bearded men came with the help of magic from the same world as the pointed-eared people ravaging the shores of other lands...;;;;;;;;;;;;;x
