#everything related to stealing should be here
#to make it easier to update changes to standalone version
#
#


############Game Rules############
RULE_GROUP_AAO;AAO;;;;;;;;;;;;;x
RULE_AI_STEALING;§BAAO:§! AI Artifact Stealing;;;;;;;;;;;;;x
RULE_AI_STEALING_DEFAULT_DESC;Powerful Counts and Dukes+ along with Patricians can steal artifacts from other characters.;;;;;;;;;;;;;x
RULE_OPTION_DUKES_PLUS;Dukes+;;;;;;;;;;;;;x
RULE_AI_STEALING_DUKES_PLUS_DESC;Only Dukes and above as well as Patricians can steal artifacts from other characters.;;;;;;;;;;;;;x
RULE_AI_STEALING_OFF_DESC;No AI character can steal artifacts. This does not affect taking them from prisoners.;;;;;;;;;;;;;x

RULE_AAO_VAULTS;§BAAO:§! Artifact Vaults;;;;;;;;;;;;;x
RULE_AAO_VAULTS_ON_DESC;Artifact vaults can be built to provide extra protection for artifacts.;;;;;;;;;;;;;x
RULE_AAO_VAULTS_OFF_DESC;Artifact vaults cannot be built at all.;;;;;;;;;;;;;x

############Traits############


############Event Modifiers############
pathetic_bribe;Pathetic;;;;;;;;;;;;;x
levy_agreement_pos;Levy Transfer;;;;;;;;;;;;;x
levy_agreement_neg;Levy Transfer;;;;;;;;;;;;;x
tax_agreement_pos;Tax Transfer;;;;;;;;;;;;;x
tax_agreement_neg;Tax Transfer;;;;;;;;;;;;;x


###modifier defs
artifact_protection;Artifact Protection;;;;;;;;;;;;;x


###Timers
active_heist;active heist;;;;;;;;;;;;;x
active_heist_desc;if you see this please report it on the Artifact Acquisition and Overhaul mod page.;;;;;;;;;;;;;x
steal_artifact_timer;heist cd;;;;;;;;;;;;;x
steal_artifact_timer_desc;if you see this please report it on the Artifact Acquisition and Overhaul mod page.;;;;;;;;;;;;;x
ai_steal_immunity;ai cant steal;;;;;;;;;;;;;x
ai_steal_immunity_desc;if you see this please report it on the Artifact Acquisition and Overhaul mod page.;;;;;;;;;;;;;x


############Opinion Modifiers############
opinion_stole_artifact;Stole my Artifact;;;;;;;;;;;;x
opinion_stole_artifact_my_vassal;Stole my Artifact;;;;;;;;;;;;x
opinion_stole_artifact_other_vassal;Vassal Stole my Artifact;;;;;;;;;;;;x
opinion_seized_artifact_tyranny;Seized a Prisoner's Artifact;;;;;;;;;;;;x
seized_artifact;Forcefully Took my Artifact;;;;;;;;;;;;x
seized_artifact_inheritance;Forcefully Taken my Predecessor's Artifact;;;;;;;;;;;;x
seized_artifact_dynastic;Forcefully Taken one of my Dynasty's Artifacts;;;;;;;;;;;;x




############Nicknames############


############Minor Titles############
