From;To;Type;Through;-1;-1;-1;-1;Comment
1677;1699;major_river;2765;-1;-1;-1;-1;Province1677-Province1699
1709;1724;major_river;2765;-1;-1;-1;-1;Province1709-Province1724
607;591;sea;2605;-1;-1;-1;-1;Province0607-Province0591
669;661;sea;2608;-1;-1;-1;-1;Province0669-Province0661
679;662;sea;2614;-1;-1;-1;-1;Province0679-Province0662
649;664;sea;2610;-1;-1;-1;-1;Province0649-Province0664
709;710;sea;2614;-1;-1;-1;-1;Province0709-Province0710
709;717;sea;2614;-1;-1;-1;-1;Province0709-Province0717
739;740;sea;2619;-1;-1;-1;-1;Province0739-Province0740
975;978;sea;2638;-1;-1;-1;-1;Province0975-Province0978
980;1012;sea;2645;-1;-1;-1;-1;Province0980-Province1012
1003;1014;sea;2648;-1;-1;-1;-1;Province1003-Province1014
1067;1073;sea;2648;-1;-1;-1;-1;Province1067-Province1073
1067;1092;sea;2648;-1;-1;-1;-1;Province1067-Province1092
1119;1126;sea;2656;-1;-1;-1;-1;Province1119-Province1126
1106;1129;sea;2659;-1;-1;-1;-1;Province1106-Province1129
1133;1141;sea;2664;-1;-1;-1;-1;Province1133-Province1141
1119;1147;sea;2664;-1;-1;-1;-1;Province1119-Province1147
1168;1176;sea;2668;-1;-1;-1;-1;Province1168-Province1176
1208;1209;sea;2681;-1;-1;-1;-1;Province1208-Province1209
1208;1217;sea;2681;-1;-1;-1;-1;Province1208-Province1217
81;52;sea;2509;-1;-1;-1;-1;Province0081-Province0052
2;46;sea;2512;-1;-1;-1;-1;Province0002-Province0046
131;177;sea;2525;-1;-1;-1;-1;Province0131-Province0177
131;214;sea;2525;-1;-1;-1;-1;Province0131-Province0214
131;245;sea;2525;-1;-1;-1;-1;Province0131-Province0245
120;164;sea;2523;-1;-1;-1;-1;Province0120-Province0164
238;246;sea;2523;-1;-1;-1;-1;Province0238-Province0246
338;364;sea;2543;-1;-1;-1;-1;Province0338-Province0364
446;419;sea;2554;-1;-1;-1;-1;Province0446-Province0419
430;455;sea;2557;-1;-1;-1;-1;Province0430-Province0455
528;468;sea;2572;-1;-1;-1;-1;Province0528-Province0468
457;477;sea;2589;-1;-1;-1;-1;Province0457-Province0477
491;492;sea;2589;-1;-1;-1;-1;Province0491-Province0492
490;501;sea;2570;-1;-1;-1;-1;Province0490-Province0501
410;432;sea;2560;-1;-1;-1;-1;Province0410-Province0432
76;66;sea;2502;-1;-1;-1;-1;Province0076-Province0066
96;165;sea;2522;-1;-1;-1;-1;Province0096-Province0165
77;177;sea;2521;-1;-1;-1;-1;Province0077-Province0177
