province;red;green;blue;x;x
1;83;60;124;Province0001;x
2;199;76;108;Province0002;x
3;228;243;84;Province0003;x
4;135;235;62;Province0004;x
5;162;94;114;Province0005;x
6;237;10;79;Province0006;x
7;67;235;80;Province0007;x
8;158;63;39;Province0008;x
9;246;145;74;Province0009;x
10;125;156;124;Province0010;x
11;102;11;96;Province0011;x
12;148;29;43;Province0012;x
13;103;110;126;Province0013;x
14;143;130;96;Province0014;x
15;87;2;56;Province0015;x
16;113;181;82;Province0016;x
17;192;9;20;Province0017;x
18;217;240;47;Province0018;x
19;127;213;2;Province0019;x
20;115;238;34;Province0020;x
21;212;36;12;Province0021;x
22;108;85;7;Province0022;x
23;247;51;76;Province0023;x
24;234;129;117;Province0024;x
25;71;93;20;Province0025;x
26;178;57;119;Province0026;x
27;208;41;101;Province0027;x
28;166;69;105;Province0028;x
29;241;212;46;Province0029;x
30;252;177;124;Province0030;x
31;74;161;21;Province0031;x
32;163;72;112;Province0032;x
33;190;124;80;Province0033;x
34;251;129;49;Province0034;x
35;219;169;21;Province0035;x
36;133;99;122;Province0036;x
37;214;124;5;Province0037;x
38;192;72;81;Province0038;x
39;142;30;5;Province0039;x
40;148;168;21;Province0040;x
41;209;14;35;Province0041;x
42;235;154;97;Province0042;x
43;136;107;88;Province0043;x
44;208;165;34;Province0044;x
45;132;159;39;Province0045;x
46;211;215;84;Province0046;x
47;85;145;20;Province0047;x
48;110;249;118;Province0048;x
49;206;19;15;Province0049;x
50;75;209;72;Province0050;x
51;233;10;29;Province0051;x
52;68;245;126;Province0052;x
53;104;207;103;Province0053;x
54;124;222;38;Province0054;x
55;99;228;56;Province0055;x
56;244;45;56;Province0056;x
57;165;64;116;Province0057;x
58;165;1;54;Province0058;x
59;111;218;12;Province0059;x
60;207;217;101;Province0060;x
61;150;158;126;Province0061;x
62;191;238;2;Province0062;x
63;69;68;12;Province0063;x
64;185;202;116;Province0064;x
65;206;7;78;Province0065;x
66;149;140;84;Province0066;x
67;142;67;114;Province0067;x
68;219;55;97;Province0068;x
69;119;10;117;Province0069;x
70;147;72;112;Province0070;x
71;174;218;71;Province0071;x
72;153;96;5;Province0072;x
73;129;124;81;Province0073;x
74;212;29;36;Province0074;x
75;175;106;114;Province0075;x
76;175;67;19;Province0076;x
77;231;165;22;Province0077;x
78;215;188;77;Province0078;x
79;91;85;41;Province0079;x
80;252;208;116;Province0080;x
81;116;115;93;Province0081;x
82;89;55;21;Province0082;x
83;125;196;81;Province0083;x
84;111;41;96;Province0084;x
85;71;36;124;Province0085;x
86;97;8;119;Province0086;x
87;150;224;26;Province0087;x
88;89;78;56;Province0088;x
89;101;141;78;Province0089;x
90;78;236;64;Province0090;x
91;88;44;47;Province0091;x
92;226;90;8;Province0092;x
93;115;231;87;Province0093;x
94;75;12;86;Province0094;x
95;136;96;113;Province0095;x
96;148;11;33;Province0096;x
97;139;37;96;Province0097;x
98;154;85;104;Province0098;x
99;91;134;26;Province0099;x
100;177;169;64;Province0100;x
101;245;195;39;Province0101;x
102;136;170;105;Province0102;x
103;148;18;109;Province0103;x
104;105;210;121;Province0104;x
105;136;51;122;Province0105;x
106;207;135;3;Province0106;x
107;85;52;49;Province0107;x
108;146;139;42;Province0108;x
109;198;45;77;Province0109;x
110;187;47;40;Province0110;x
111;65;229;124;Province0111;x
112;215;35;118;Province0112;x
113;224;165;84;Province0113;x
114;104;59;54;Province0114;x
115;208;192;111;Province0115;x
116;68;45;24;Province0116;x
117;162;98;6;Province0117;x
118;69;117;59;Province0118;x
119;206;55;43;Province0119;x
120;73;113;34;Province0120;x
121;248;210;120;Province0121;x
122;199;85;75;Province0122;x
123;92;146;17;Province0123;x
124;163;55;25;Province0124;x
125;203;91;79;Province0125;x
126;213;72;20;Province0126;x
127;224;175;28;Province0127;x
128;234;177;72;Province0128;x
129;105;234;110;Province0129;x
130;118;4;62;Province0130;x
131;225;142;2;Province0131;x
132;218;97;22;Province0132;x
133;115;142;28;Province0133;x
134;224;166;33;Province0134;x
135;253;125;19;Province0135;x
136;116;92;43;Province0136;x
137;92;151;68;Province0137;x
138;195;42;44;Province0138;x
139;190;245;109;Province0139;x
140;108;72;56;Province0140;x
141;190;201;27;Province0141;x
142;158;224;120;Province0142;x
143;98;49;61;Province0143;x
144;78;112;87;Province0144;x
145;220;63;123;Province0145;x
146;218;57;14;Province0146;x
147;180;234;54;Province0147;x
148;221;20;9;Province0148;x
149;184;186;38;Province0149;x
150;150;195;93;Province0150;x
151;206;225;3;Province0151;x
152;228;61;26;Province0152;x
153;228;124;101;Province0153;x
154;148;205;60;Province0154;x
155;105;103;23;Province0155;x
156;165;225;101;Province0156;x
157;149;230;118;Province0157;x
158;192;70;74;Province0158;x
159;107;108;66;Province0159;x
160;106;240;54;Province0160;x
161;137;217;22;Province0161;x
162;239;153;101;Province0162;x
163;101;144;125;Province0163;x
164;89;9;99;Province0164;x
165;104;28;86;Province0165;x
166;213;101;42;Province0166;x
167;79;238;13;Province0167;x
168;158;50;19;Province0168;x
169;86;209;81;Province0169;x
170;163;110;60;Province0170;x
171;139;175;51;Province0171;x
172;202;169;3;Province0172;x
173;212;179;63;Province0173;x
174;68;45;17;Province0174;x
175;102;217;5;Province0175;x
176;215;67;65;Province0176;x
177;158;167;92;Province0177;x
178;212;141;65;Province0178;x
179;121;65;0;Province0179;x
180;239;25;11;Province0180;x
181;71;27;89;Province0181;x
182;250;19;124;Province0182;x
183;210;46;35;Province0183;x
184;208;127;94;Province0184;x
185;203;167;53;Province0185;x
186;246;115;52;Province0186;x
187;178;216;50;Province0187;x
188;110;36;45;Province0188;x
189;212;138;12;Province0189;x
190;150;35;27;Province0190;x
191;245;202;89;Province0191;x
192;160;27;97;Province0192;x
193;237;194;2;Province0193;x
194;137;200;72;Province0194;x
195;171;223;124;Province0195;x
196;135;48;24;Province0196;x
197;97;213;77;Province0197;x
198;159;167;94;Province0198;x
199;162;221;20;Province0199;x
200;178;135;34;Province0200;x
201;203;182;106;Province0201;x
202;161;68;102;Province0202;x
203;123;79;65;Province0203;x
204;76;181;67;Province0204;x
205;237;188;46;Province0205;x
206;106;71;46;Province0206;x
207;117;211;63;Province0207;x
208;74;233;103;Province0208;x
209;154;32;96;Province0209;x
210;185;140;106;Province0210;x
211;87;252;7;Province0211;x
212;78;164;102;Province0212;x
213;107;51;124;Province0213;x
214;234;191;34;Province0214;x
215;238;107;37;Province0215;x
216;197;109;7;Province0216;x
217;92;48;97;Province0217;x
218;242;114;72;Province0218;x
219;139;37;123;Province0219;x
220;131;171;36;Province0220;x
221;164;121;80;Province0221;x
222;182;199;110;Province0222;x
223;204;181;7;Province0223;x
224;140;118;47;Province0224;x
225;85;231;96;Province0225;x
226;82;23;99;Province0226;x
227;247;52;99;Province0227;x
228;114;102;29;Province0228;x
229;124;5;15;Province0229;x
230;172;170;41;Province0230;x
231;127;46;120;Province0231;x
232;70;246;19;Province0232;x
233;162;1;49;Province0233;x
234;195;202;58;Province0234;x
235;216;252;47;Province0235;x
236;207;242;53;Province0236;x
237;173;140;113;Province0237;x
238;137;176;60;Province0238;x
239;95;66;48;Province0239;x
240;82;105;93;Province0240;x
241;117;2;98;Province0241;x
242;83;190;99;Province0242;x
243;139;244;84;Province0243;x
244;167;133;117;Province0244;x
245;238;190;122;Province0245;x
246;131;109;13;Province0246;x
247;168;218;10;Province0247;x
248;138;45;107;Province0248;x
249;192;8;19;Province0249;x
250;199;213;87;Province0250;x
251;113;9;90;Province0251;x
252;237;214;29;Province0252;x
253;247;108;122;Province0253;x
254;176;123;79;Province0254;x
255;187;203;53;Province0255;x
256;108;87;97;Province0256;x
257;153;87;125;Province0257;x
258;167;48;41;Province0258;x
259;133;43;1;Province0259;x
260;172;153;11;Province0260;x
261;79;58;115;Province0261;x
262;73;71;91;Province0262;x
263;134;68;4;Province0263;x
264;75;40;88;Province0264;x
265;137;186;11;Province0265;x
266;186;58;2;Province0266;x
267;159;183;46;Province0267;x
268;195;93;80;Province0268;x
269;79;23;49;Province0269;x
270;135;235;67;Province0270;x
271;117;143;23;Province0271;x
272;139;186;20;Province0272;x
273;118;60;76;Province0273;x
274;240;90;53;Province0274;x
275;231;67;70;Province0275;x
276;94;115;95;Province0276;x
